date,close
2024-10-20,469542.85
2024-10-21,466041.65
2024-10-22,461481.23
2024-10-23,461046.48
2024-10-24,459293.33
2024-10-25,460154.12
2024-10-26,463660.0
2024-10-27,458933.48
2024-10-28,456872.43
2024-10-29,456901.35
2024-10-30,455552.43
2024-10-31,460333.75
2024-11-01,454101.58
2024-11-02,453836.73
2024-11-03,458393.38
2024-11-04,457631.19
2024-11-05,457888.45
2024-11-06,459050.77
2024-11-07,464524.98
2024-11-08,463345.29
2024-11-09,460119.4
2024-11-10,455495.61
2024-11-11,453747.58
2024-11-12,457668.2
2024-11-13,457356.73
2024-11-14,456397.52
2024-11-15,458315.92
2024-11-16,454906.86
2024-11-17,459988.36
2024-11-18,463045.25
2024-11-19,468402.11
2024-11-20,465655.13
2024-11-21,460652.78
2024-11-22,460593.34
2024-11-23,457697.39
2024-11-24,459713.54
2024-11-25,463327.92
2024-11-26,464809.87
2024-11-27,461993.13
2024-11-28,463978.97
2024-11-29,463674.5
2024-11-30,465270.99
2024-12-01,463683.67
2024-12-02,458984.8
2024-12-03,452808.31
2024-12-04,455560.49
2024-12-05,455877.04
2024-12-06,459757.45
2024-12-07,460257.07
2024-12-08,464418.71
2024-12-09,464749.57
2024-12-10,460912.33
2024-12-11,460804.12
2024-12-12,458270.82
2024-12-13,457121.38
2024-12-14,463024.8
2024-12-15,470128.97
2024-12-16,473909.12
2024-12-17,472938.8
2024-12-18,474654.15
2024-12-19,476473.78
2024-12-20,477256.52
2024-12-21,473684.76
2024-12-22,476542.47
2024-12-23,476456.59
2024-12-24,478458.0
2024-12-25,478293.75
2024-12-26,478229.91
2024-12-27,480322.32
2024-12-28,478541.99
2024-12-29,480883.12
2024-12-30,477059.43
2024-12-31,479742.33
2025-01-01,478807.4
2025-01-02,480587.3
2025-01-03,477917.96
2025-01-04,477701.93
2025-01-05,479596.1
2025-01-06,482175.17
2025-01-07,479464.84
2025-01-08,478293.35
2025-01-09,479396.74
2025-01-10,476069.53
2025-01-11,476177.48
2025-01-12,469638.74
2025-01-13,470151.68
2025-01-14,475471.25
2025-01-15,480441.67
2025-01-16,476818.85
2025-01-17,473864.63
2025-01-18,473622.4
2025-01-19,475134.84
2025-01-20,478643.92
2025-01-21,484521.72
2025-01-22,486330.77
2025-01-23,490647.5
2025-01-24,493321.19
2025-01-25,495191.61
2025-01-26,501244.12
2025-01-27,502694.35
2025-01-28,504098.81
2025-01-29,505046.35
2025-01-30,502974.92
2025-01-31,501966.29
2025-02-01,500764.0
2025-02-02,500509.37
2025-02-03,503258.09
2025-02-04,497800.5
2025-02-05,500231.85
2025-02-06,507350.51
2025-02-07,504280.04
2025-02-08,495564.03
2025-02-09,491781.89
2025-02-10,493401.06
2025-02-11,495172.68
2025-02-12,495566.75
2025-02-13,500576.4
2025-02-14,502401.36
2025-02-15,504373.76
2025-02-16,502770.25
2025-02-17,506553.71
2025-02-18,519467.44
2025-02-19,521160.08
2025-02-20,522461.55
2025-02-21,526911.17
2025-02-22,529598.69
2025-02-23,532024.11
2025-02-24,533056.74
2025-02-25,530051.53
2025-02-26,525183.54
2025-02-27,530070.07
2025-02-28,533862.36
2025-03-01,532224.31
2025-03-02,534997.37
2025-03-03,536176.9
2025-03-04,545928.65
2025-03-05,546785.89
2025-03-06,544928.32
2025-03-07,547244.18
2025-03-08,553172.38
2025-03-09,559965.0
2025-03-10,565200.41
2025-03-11,569609.72
2025-03-12,574052.36
2025-03-13,577358.74
2025-03-14,579301.69
2025-03-15,587263.32
2025-03-16,594032.88
2025-03-17,599946.83
2025-03-18,596295.21
2025-03-19,597255.13
2025-03-20,594918.76
2025-03-21,592556.75
2025-03-22,598069.38
2025-03-23,609311.34
2025-03-24,597323.6
2025-03-25,598699.7
2025-03-26,590244.07
2025-03-27,593688.28
2025-03-28,583641.32
2025-03-29,588714.94
2025-03-30,589900.18
2025-03-31,594922.47
2025-04-01,601446.59
2025-04-02,595183.36
2025-04-03,591832.01
2025-04-04,592014.67
2025-04-05,592097.57
2025-04-06,596953.0
2025-04-07,595756.77
2025-04-08,600092.53
2025-04-09,595908.0
2025-04-10,600465.23
2025-04-11,605223.35
2025-04-12,604295.2
2025-04-13,612839.18
2025-04-14,611827.06
2025-04-15,613844.64
2025-04-16,616321.54
2025-04-17,615805.54
2025-04-18,617737.12
2025-04-19,612262.23
2025-04-20,611224.04
2025-04-21,614153.95
2025-04-22,616548.69
2025-04-23,619425.06
2025-04-24,622431.36
2025-04-25,621209.72
2025-04-26,621009.08
2025-04-27,621319.28
2025-04-28,612943.12
2025-04-29,615768.62
2025-04-30,612256.64
2025-05-01,608957.77
2025-05-02,609486.39
2025-05-03,611601.98
2025-05-04,619991.28
2025-05-05,618387.49
2025-05-06,611313.05
2025-05-07,616648.48
2025-05-08,620919.35
2025-05-09,617426.09
2025-05-10,617150.29
2025-05-11,617916.14
2025-05-12,625747.71
2025-05-13,624885.1
2025-05-14,621603.02
2025-05-15,628315.42
2025-05-16,619409.08
2025-05-17,621745.44
2025-05-18,612190.47
2025-05-19,602382.26
2025-05-20,600630.17
2025-05-21,607040.85
2025-05-22,596792.04
2025-05-23,599210.07
2025-05-24,597623.56
2025-05-25,597935.85
2025-05-26,610855.87
2025-05-27,611950.64
2025-05-28,599194.62
2025-05-29,584242.08
2025-05-30,578241.09
2025-05-31,577910.8
2025-06-01,579561.79
2025-06-02,576176.07
2025-06-03,574643.03
2025-06-04,565789.03
2025-06-05,567398.1
2025-06-06,562881.0
2025-06-07,560859.09
2025-06-08,554590.12
2025-06-09,564135.76
2025-06-10,562381.94
2025-06-11,561297.72
2025-06-12,558896.84
2025-06-13,555239.63
2025-06-14,554455.28
2025-06-15,554228.54
2025-06-16,549103.2
2025-06-17,558217.11
2025-06-18,556772.97
2025-06-19,556672.14
2025-06-20,557557.6
2025-06-21,559282.17
2025-06-22,558463.6
2025-06-23,557957.21
2025-06-24,559754.07
2025-06-25,564703.91
2025-06-26,566514.9
2025-06-27,561029.68
2025-06-28,562373.88
2025-06-29,565856.92
2025-06-30,566568.92
2025-07-01,569092.92
2025-07-02,571391.18
2025-07-03,569096.63
2025-07-04,574832.28
2025-07-05,577964.58
2025-07-06,582521.93
2025-07-07,582713.17
2025-07-08,589224.0
2025-07-09,588083.1
2025-07-10,581579.77
2025-07-11,582579.74
2025-07-12,578400.33
2025-07-13,582685.28
2025-07-14,579163.68
2025-07-15,584418.28
2025-07-16,584546.98
2025-07-17,583711.87
2025-07-18,587053.51
2025-07-19,596269.9
